SampleID	Experiment	Treatment	Water	Sampletype	Inoculation	Replica	Block	Row	Group	GroupNum	SampleWater
d2_19_1_355_R	Field	SynCom	Drought	Root	I1	18	2	9	SynCom_Drought_R_I1	4	Drought_R
d2_19_1_357_R	Field	SynCom	Drought	Root	I1	19	2	9	SynCom_Drought_R_I1	4	Drought_R
d2_19_1_360_R	Field	SynCom	Drought	Root	I1	20	2	9	SynCom_Drought_R_I1	4	Drought_R
w1_2_2_11_R	Field	Mock	Watered	Root	I2	1	1	2	Mock_Watered_R_I2	5	Watered_R
w1_2_2_12_R	Field	Mock	Watered	Root	I2	2	1	2	Mock_Watered_R_I2	5	Watered_R
w1_2_2_13_R	Field	Mock	Watered	Root	I2	3	1	2	Mock_Watered_R_I2	5	Watered_R
w1_2_2_3_R	Field	Mock	Watered	Root	I2	4	1	2	Mock_Watered_R_I2	5	Watered_R
w1_2_2_9_R	Field	Mock	Watered	Root	I2	5	1	2	Mock_Watered_R_I2	5	Watered_R
w1_3_2_23_R	Field	Mock	Watered	Root	I2	6	1	3	Mock_Watered_R_I2	5	Watered_R
w1_3_2_26_R	Field	Mock	Watered	Root	I2	7	1	3	Mock_Watered_R_I2	5	Watered_R
w1_3_2_27_R	Field	Mock	Watered	Root	I2	8	1	3	Mock_Watered_R_I2	5	Watered_R
w1_3_2_29_R	Field	Mock	Watered	Root	I2	9	1	3	Mock_Watered_R_I2	5	Watered_R
w1_3_2_31_R	Field	Mock	Watered	Root	I2	10	1	3	Mock_Watered_R_I2	5	Watered_R
w2_2_2_14_R	Field	Mock	Watered	Root	I2	11	2	2	Mock_Watered_R_I2	5	Watered_R
w2_2_2_17_R	Field	Mock	Watered	Root	I2	12	2	2	Mock_Watered_R_I2	5	Watered_R
w2_2_2_18_R	Field	Mock	Watered	Root	I2	13	2	2	Mock_Watered_R_I2	5	Watered_R
w2_2_2_19_R	Field	Mock	Watered	Root	I2	14	2	2	Mock_Watered_R_I2	5	Watered_R
w2_2_2_20_R	Field	Mock	Watered	Root	I2	15	2	2	Mock_Watered_R_I2	5	Watered_R
w2_3_2_35_R	Field	Mock	Watered	Root	I2	16	2	3	Mock_Watered_R_I2	5	Watered_R
w2_3_2_37_R	Field	Mock	Watered	Root	I2	17	2	3	Mock_Watered_R_I2	5	Watered_R
w2_3_2_38_R	Field	Mock	Watered	Root	I2	18	2	3	Mock_Watered_R_I2	5	Watered_R
w2_3_2_39_R	Field	Mock	Watered	Root	I2	19	2	3	Mock_Watered_R_I2	5	Watered_R
w2_3_2_40_R	Field	Mock	Watered	Root	I2	20	2	3	Mock_Watered_R_I2	5	Watered_R
w1_8_2_123_R	Field	SynCom	Watered	Root	I2	1	1	8	SynCom_Watered_R_I2	6	Watered_R
w1_8_2_125_R	Field	SynCom	Watered	Root	I2	2	1	8	SynCom_Watered_R_I2	6	Watered_R
w1_8_2_126_R	Field	SynCom	Watered	Root	I2	3	1	8	SynCom_Watered_R_I2	6	Watered_R
w1_8_2_127_R	Field	SynCom	Watered	Root	I2	4	1	8	SynCom_Watered_R_I2	6	Watered_R
w1_8_2_129_R	Field	SynCom	Watered	Root	I2	5	1	8	SynCom_Watered_R_I2	6	Watered_R
w1_9_2_141_R	Field	SynCom	Watered	Root	I2	6	1	9	SynCom_Watered_R_I2	6	Watered_R
w1_9_2_142_R	Field	SynCom	Watered	Root	I2	7	1	9	SynCom_Watered_R_I2	6	Watered_R
w1_9_2_146_R	Field	SynCom	Watered	Root	I2	8	1	9	SynCom_Watered_R_I2	6	Watered_R
w1_9_2_148_R	Field	SynCom	Watered	Root	I2	9	1	9	SynCom_Watered_R_I2	6	Watered_R
w1_9_2_149_R	Field	SynCom	Watered	Root	I2	10	1	9	SynCom_Watered_R_I2	6	Watered_R
w2_8_2_131_R	Field	SynCom	Watered	Root	I2	11	2	8	SynCom_Watered_R_I2	6	Watered_R
w2_9_2_159_R	Field	SynCom	Watered	Root	I2	12	2	8	SynCom_Watered_R_I2	6	Watered_R
w2_8_2_133_R	Field	SynCom	Watered	Root	I2	13	2	8	SynCom_Watered_R_I2	6	Watered_R
w2_8_2_135_R	Field	SynCom	Watered	Root	I2	14	2	8	SynCom_Watered_R_I2	6	Watered_R
w2_8_2_140_R	Field	SynCom	Watered	Root	I2	15	2	8	SynCom_Watered_R_I2	6	Watered_R
w2_9_2_151_R	Field	SynCom	Watered	Root	I2	16	2	9	SynCom_Watered_R_I2	6	Watered_R
w2_9_2_152_R	Field	SynCom	Watered	Root	I2	17	2	9	SynCom_Watered_R_I2	6	Watered_R
w2_9_2_153_R	Field	SynCom	Watered	Root	I2	18	2	9	SynCom_Watered_R_I2	6	Watered_R
w2_9_2_154_R	Field	SynCom	Watered	Root	I2	19	2	9	SynCom_Watered_R_I2	6	Watered_R
w2_8_2_132_R	Field	SynCom	Watered	Root	I2	20	2	9	SynCom_Watered_R_I2	6	Watered_R
d1_12_2_160_R	Field	Mock	Drought	Root	I2	1	1	2	Mock_Drought_R_I2	7	Drought_R
d1_12_2_162_R	Field	Mock	Drought	Root	I2	2	1	2	Mock_Drought_R_I2	7	Drought_R
d1_12_2_164_R	Field	Mock	Drought	Root	I2	3	1	2	Mock_Drought_R_I2	7	Drought_R
d1_12_2_170_R	Field	Mock	Drought	Root	I2	4	1	2	Mock_Drought_R_I2	7	Drought_R
d1_12_2_171_R	Field	Mock	Drought	Root	I2	5	1	2	Mock_Drought_R_I2	7	Drought_R
d1_13_2_201_R	Field	Mock	Drought	Root	I2	6	1	3	Mock_Drought_R_I2	7	Drought_R
