File.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
w1-8-1-123	8	34	2333	150755.0676	3270	5166	1.579817	3707430	10810176.5	0.342957	3286877	65.345217	36.878178	742.778564	111104.9684	1505414564	31906099.81	496	2681.685484	1.689	43.845958	0.286669	0.443694	0.269637	925.205194	4867.02092	144962.8414	1841.925107	18675.31602	10135118.26	5786.578385	58702.05677	31841611.18	2893.289192	57887.03558	1505353784
w1-8-1-125	10	43	2589	230587.6823	3648	3800	1.041667	7374313	10967093.5	0.672404	6254568	98.680829	44.045429	1182.05249	148672.9744	7241797989	73946814.42	889	1281.399325	1.84	41.770978	0.368811	0.335291	0.295898	983.790981	5975.711396	223628.1799	1964.753534	23012.98679	23512398.78	6172.455269	72311.47985	73868330.49	3086.227635	71568.96347	7241723334
w1-8-1-126	7	27	1829	108912.9333	3567	2799	0.784693	2641261	6550388	0.403222	2256632	61.663719	35.777088	605.005798	83941.27203	1018090654	22049587.42	386	2382.673575	1.087	43.205358	0.3567	0.304278	0.339022	754.239682	4299.141628	103859.552	1503.650937	16527.07113	7000240.093	4723.858737	51935.37489	21992928.19	2361.929369	51316.04728	1018036976
w1-8-1-127	9	38	2758	146964.9424	3648	3511	0.962445	3171766	8456661	0.375061	2699298	52.063339	30.463093	746.385986	119073.8973	1089340167	24756204.49	605	2411.62314	1.411	43.892616	0.335454	0.341225	0.323321	1049.288455	6819.656706	139095.9972	2086.920056	26284.90117	7850990.875	6556.252718	82608.27357	24667039.96	3278.126359	81785.62865	1089255103
w1-8-1-129	11	32	1890	113859.1519	2537	4396	1.732755	2397180	7419964	0.323072	2174830	50.103497	31.304953	574.654663	92303.99986	647634369	18416934.72	481	1369.590437	1.15	44.100152	0.304686	0.414935	0.280379	646.198052	4133.930517	109079.0233	1282.739249	16064.07418	5844724.256	4029.844201	50480.82704	18362424.04	2014.9221	50318.96407	647582035.2
w1-9-1-141	12	34	2366	150588.5989	3304	3185	0.963983	3862573	7416454	0.520811	3345154	65.853706	38.418747	825.920105	111338.5061	1708930244	32302941.28	492	2025.656504	1.321	42.385686	0.368425	0.30821	0.323364	970.193001	5139.346822	144479.0591	1937.557575	19903.24465	10259861.82	6087.016643	62555.98642	32234298.28	3043.508321	62164.96665	1708865035
w1-9-1-142	5	37	1872	140604.2077	3264	4186	1.282475	4159441	9749508.5	0.426631	3485012	72.982582	36.496574	926.226746	112173.0029	2018933994	33110600.29	484	1800.892562	1.396	43.181429	0.322307	0.383383	0.29431	699.239682	4224.207645	135680.7604	1395.650937	16327.62717	10521367.55	4384.566731	51303.63934	33054912.09	2192.283365	50910.75669	2018880891
w1-9-1-146	4	19	720	37290.15762	2314	2710	1.171132	705393	3455832	0.204117	699070	38.12551	27.202942	273.875885	37346.11686	89956341.31	4547116.277	100	1046.92	0.581	44.54067	0.30635	0.387178	0.306472	319.249783	1818.670273	35152.23757	638.499567	6997.78908	1439745.776	2005.905548	21984.20276	4523126.168	1002.952774	21704.96345	89933633.4
w1-9-1-148	8	37	2615	168281.8244	3648	3528	0.967105	3742395	8754494.5	0.427483	3294115	66.374343	34	866.736389	124761.0893	2282713385	36887911.64	691	2160.509407	1.443	43.826482	0.320625	0.371914	0.307461	1307.011327	6922.058726	160052.7544	2611.194226	26803.41013	11711577.64	8203.308599	84233.4956	36795474.84	4101.654299	83713.09621	2282625570
w1-9-1-149	11	33	2306	161553.9613	3439	3257	0.947078	3955220	7975747	0.495906	3506306	61.988366	39.395432	650	115119.6308	1330695723	32501854.63	612	1569.323529	1.323	43.65921	0.322495	0.362036	0.315468	1067.773737	5553.201728	154932.9858	2132.719046	21357.35559	10321712.89	6700.134488	67096.11143	32428058.38	3350.067244	66318.66327	1330626054
w2-2-1-14	10	30	1539	121592.0044	2857	3932	1.376269	3087793	7303354.5	0.422791	2921971	71.663141	45.343136	598.441284	81844.06199	1320773358	28399951.36	449	1702.091314	1.2	44.987497	0.27442	0.43314	0.29244	665.51176	3468.624817	117457.8678	1331.02352	13402.36813	9024914.943	4181.533712	42104.78126	28353665.04	2090.766856	41740.39234	1320729527
