Sample.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
w2-2-2-14	11	36	2152	165131.2917	3648	4008	1.098684	4569409	9274089.5	0.492707	4067557	85.468501	46	951.57135	117654.9558	3332958792	46637896.93	475	4308.366316	1.626	43.120701	0.334273	0.360087	0.30564	1084.300649	5333.733691	158713.2574	2154.116016	20618.82411	14821953.83	6767.355051	64775.94635	46566353.63	3383.677525	64328.51061	3332891080
w2-2-2-17	11	30	1688	116232.7	2959	3420	1.155796	2721354	7466679	0.364466	2249141	55.007796	30.594116	648.459717	105258.9746	903691432.8	20725816.31	403	2366.451613	1.145	47.073306	0.28606	0.345662	0.368278	793.766594	4504.864499	110934.0689	1582.704761	17461.66282	6578067.54	4972.21365	54871.48127	20665972.62	2486.106825	54569.44919	903634377.2
w2-2-2-18	12	31	1604	116154.3999	2617	3473	1.327092	2768542	6881690	0.402306	2509988	56.827175	32.55764	663.641479	90322.39208	887732145.6	21192715.56	561	1287.467023	1.088	43.989013	0.345877	0.31741	0.336712	597.499567	4102.857357	111454.0429	1189.342279	15946.10946	6728070.817	3736.428967	50096.18033	21138882.95	1868.214483	49924.80661	887680352.6
w2-2-2-19	9	42	2350	164894.3104	3414	3385	0.991506	3859424	8680365	0.444615	3440270	58.77703	29.732138	711.16803	132019.6527	1528999593	31220043.91	781	1450.919334	1.418	45.026797	0.320645	0.339838	0.339518	1136.886435	6542.188668	157215.2352	2264.116016	25375.25417	9909310.225	7112.930242	79718.71209	31133212.27	3556.465121	79343.81062	1528916693
w2-2-2-20	7	37	2591	168999.8885	3648	3724	1.020833	4239321	8829081	0.480154	3422526	68.370121	34.058773	829.778259	121358.7432	2108741417	37712701.29	689	1499.734398	1.632	43.929381	0.302936	0.400104	0.29696	1187.141269	7112.800933	160699.9463	2362.96883	27481.90784	11974167.7	7423.485516	86336.95976	37618940.84	3711.742758	85595.19805	2108652110
w2-3-2-35	10	32	2673	162297.7306	3642	3285	0.901977	3880559	7741284.5	0.501281	3632702	60.103884	37.94733	661.809631	113841.4071	1278900996	31522999.77	594	1465.367003	1.375	43.393445	0.352392	0.32219	0.325419	1055.915872	6378.152088	154863.6627	2111.831745	24587.0498	10006819.32	6634.515095	77288.36582	31439076.88	3317.257547	76545.93305	1278821133
w2-3-2-37	8	34	1626	138786.204	3648	3270	0.896382	4597802	7991999.5	0.575301	3799080	92.128109	44.407207	1070.089722	102109.4813	3293854004	41754047.56	411	2588.355231	1.361	43.860571	0.320589	0.360519	0.318892	510.931024	3873.330445	134401.9425	1021.862048	15028.33441	13274398.43	3210.274304	47212.90499	41703624.38	1605.137152	46982.78303	3293805416
w2-3-2-38	8	44	2654	182166.5515	3648	4183	1.146656	4219912	10388201.5	0.406222	3685925	59.451102	36.878178	622.539978	141373.3651	1447558164	35046960.9	626	2335.958466	1.633	43.274626	0.326695	0.380336	0.292969	904.577777	5776.12561	175485.8481	1803.4987	22398.74971	11130861.14	5665.858267	70367.74752	34970927.29	2832.929134	70067.77365	1447485263
w2-3-2-39	9	36	2150	153257.0442	3399	3920	1.15328	3730074	8670468.5	0.430204	2986391	64.884443	35.383614	829.891541	113756.1274	1736438127	32164715.72	618	1994.156958	1.411	44.468034	0.302119	0.391845	0.306036	1017.518903	5480.85144	146758.6738	2029.380951	21050.16461	10214824.82	6375.488288	66131.04251	32092209.19	3187.744144	65213.19524	1736369726
w2-3-2-40	7	27	1661	131282.2681	3648	3724	1.020833	3954028	8513673	0.464433	3123952	78.151468	42.047592	812.04187	98135.38428	2071248851	33311274.9	428	2159.436916	1.384	44.636678	0.30589	0.371458	0.322652	385.504617	3357.416665	127539.3468	768.180808	12978.40181	10589392.17	2413.311182	40800.95104	33268060.64	1206.655591	40541.98448	2071207102
w2-8-2-131	9	32	1733	137985.776	3635	3604	0.991472	4003389	8808768.5	0.454478	3423454	71.496002	41.617306	927.60553	109734.8172	1915779395	31675337.33	441	2478.120181	1.411	44.898169	0.315267	0.35409	0.330643	593.357431	4002.774096	133389.6445	1183.886435	15557.17529	10065703.67	3719.288927	48874.30762	31622743.73	1859.644464	48679.96704	1915728855
w2-8-2-132	8	34	1835	126505.7617	3531	4072	1.153214	2910342	9115091.5	0.319288	2909648	53.051985	32.55764	610.003296	114600.8568	845549579.8	21745080.21	398	3609.208543	1.397	45.145666	0.281397	0.414169	0.304434	404.67619	3221.622725	122879.4628	809.35238	12467.81141	6907842.279	2542.655493	39196.88398	21703340.67	1271.327746	38959.72494	845509348.7
w2-8-2-133	9	28	1643	135784.373	3648	3701	1.014529	3825688	8308191.5	0.460472	3423401	82.76233	44.407207	801.411255	104134.3193	2307647249	36574131.64	369	2492.666667	1.46	45.431413	0.282248	0.388076	0.329677	518.700577	3113.622725	132152.0497	1030.572727	11998.00008	11628756.44	3237.639707	37715.76432	36533178.24	1618.819853	37345.72443	2307608284
w2-8-2-135	9	28	2043	134307.6727	3648	2643	0.724507	3141144	7189994.5	0.436877	2789318	60.880625	33.526108	723.394775	106482.2176	1446799861	26758430.31	546	3425.424908	1.147	45.096044	0.319897	0.333072	0.347032	769.766594	4446.562984	129091.3431	1539.533188	17193.98676	8498448.648	4836.586154	54016.50249	26699577.23	2418.293077	53612.99537	1446743829
w2-8-2-140	7	37	2752	201596.1289	3648	4136	1.133772	5903059	10735914.5	0.549842	4907486	83.263888	44.271889	1164.027466	128171.0639	4049114819	53969095.6	724	1647.517956	1.712	41.095596	0.349925	0.387397	0.262678	1193.14632	6625.431309	193777.5512	2383.464212	25619.95684	17149958.28	7487.873659	80487.46819	53881120.26	3743.93683	79869.51213	4049031205
w2-9-2-151	10	33	2381	145741.3443	2837	3911	1.378569	3661610	7836787	0.467234	3016118	67.885384	34.928497	905.988953	107847.0867	1944098107	31836999.8	549	1946.453552	1.259	42.980867	0.333401	0.372988	0.293612	990.288455	5328.508294	139422.5475	1978.576911	20629.19024	10110895.68	6215.882687	64850.66141	31765933.26	3107.941344	64439.72273	1944030559
w2-9-2-152	9	31	1848	143034.6804	3093	4164	1.346266	4285743	8471141.5	0.505923	3664864	87.128736	44.045429	955.028809	94743.38234	2976693880	40674119.27	507	1365.461538	1.51	43.951771	0.329383	0.346953	0.323664	699.009235	3999.092855	138336.5783	1395.190042	15486.54792	12929984.09	4383.118787	48680.52444	40621055.63	2191.559394	48408.23652	2976643280
w2-9-2-153	7	34	1989	151522.8177	3648	3877	1.062774	4130821	8786928	0.47011	3626107	69.272966	39.446167	793.395264	110425.5897	1763733225	33971240.16	588	1145.916667	1.561	44.453301	0.322064	0.343106	0.33483	849.121933	4688.98434	145984.7114	1693.415439	18139.88247	10793153.7	5320.021503	56988.12149	33908932.02	2660.010751	56538.67016	1763674027
w2-9-2-154	5	29	1637	122347.1244	3281	3130	0.953977	3507564	7196010	0.487432	2856560	93.927042	40.249222	974.248413	80510.75839	3217560064	37471693.94	493	702.212982	1.155	42.92701	0.308791	0.407917	0.283292	622.139177	3595.465438	118129.5198	1229.793073	13913.97924	11911817.77	3863.508883	43726.10459	37424104.32	1931.754441	43430.6141	3217514701
w2-9-2-159	7	36	2254	162426.7854	3095	3852	1.244588	3959630	7609757.5	0.520336	3353022	73.017557	40	812.088684	106799.8611	2311180515	38486579.58	716	1149.212291	1.394	42.873527	0.302879	0.447861	0.24926	1217.011327	6038.394729	155171.3794	2427.194226	23305.21531	12224424.96	7625.25555	73243.59246	38405710.73	3812.627775	72576.98516	2311104126
